Country,Population,Square miles
Macau S.A.R.,453125,6
Monaco,32796,0.8
Singapore,4492150,241
Hong Kong S.A.R.,7018636,382
Gibraltar,27928,2
Gaza Strip,1428757,147
Bermuda,66536,19
Malta,403532,124
Maldives,379174,116
Bahrain,718306,239
Bangladesh,153546901,51703
Jersey,91084,45
Taiwan,23036087,12456
Mauritius,1260781,714
Barbados,281968,166
Nauru,13770,8
Mayotte,216306,145
South Korea,49232844,37911
San Marino,29251,23
Netherlands,16645313,13104
Tuvalu,11810,10
Puerto Rico,3927188,3459
West Bank,2460492,2178
Martinique,436131,409
Lebanon,3971941,3950
Aruba,101541,75
India,1147995898,1147949
Saint Vincent and the Grenadines,117848,131
Rwanda,8648248,9633
Belgium,10403951,11672
Guernsey,65409,75
Marshall Islands,63174,70
El Salvador,7066403,8000
Japan,127288419,152411
Comoros,731775,838
Guam,175877,209
Burundi,8691005,9903
Reunion,787584,965
Israel,6500389,7849
Sri Lanka,20222240,24996
Virgin Islands,108605,135
Haiti,8924553,10641
Philippines,89468677,115124
American Samoa,57496,77
Saint Lucia,168458,236
Grenada,90303,131
Vietnam,84402966,125622
Guadeloupe,452776,680
Jamaica,2801544,4181
United Kingdom,60609153,93278
Germany,82369548,135236
Netherlands Antilles,225369,371
Pakistan,167762040,300664
Liechtenstein,34498,62
Trinidad and Tobago,1065842,1981
Nepal,29519114,52819
Sao Tome and Principe,193413,371
Italy,58145321,113521
North Korea,23479089,46490
Dominican Republic,9507133,18680
Switzerland,7523934,15355
Luxembourg,474413,998
Seychelles,81541,176
Cayman Islands,47762,100
Northern Mariana Islands,82459,184
The Gambia,1735464,3861
Tonga,114689,277
Andorra,72413,174
Antigua and Barbuda,69842,170
British Virgin Islands,23098,58
Federated States of Micronesia,107673,271
Anguilla,13854,35
Kiribati,110252,277
Nigeria,138283240,351649
Uganda,28195754,77108
China,1330044605,3600927
Malawi,13931831,36324
Kuwait,2596799,6880
Indonesia,237512355,699548
Moldova,4324450,13012
Albania,3619778,10579
Czech Republic,10220911,30365
Denmark,5484723,16359
Isle of Man,75441,227
Poland,38536869,117571
Thailand,64631595,197595
Portugal,10605870,35382
Guatemala,12293545,41865
France,64094658,210668
Slovakia,5439448,18842
Saint Kitts and Nevis,39129,139
Hungary,9930915,35653
Serbia,9396411,34116
Cape Verde,426113,1556
Cuba,11423952,42803
Syria,18881361,71062
Togo,5548702,21000
Armenia,2968586,11506
Slovenia,2010347,7819
Austria,8205533,31942
Ghana,23382848,88811
Romania,22303552,88934
Montserrat,9638,39
Azerbaijan,8177717,33436
Dominica,72514,290
Turkey,70413958,297591
Cook Islands,21923,93
Bosnia and Herzegovina,4590310,19741
Cyprus,792604,3568
Sierra Leone,6005250,27653
Greece,10722816,50502
Spain,40397842,192819
Qatar,885359,4247
Costa Rica,4191948,19560
Macedonia,2050554,9928
Croatia,4491543,21829
Egypt,81713517,384344
Cambodia,14241640,68154
Ukraine,46710816,233089
French Polynesia,283019,1413
Morocco,34272968,172317
Malaysia,25259428,126853
East Timor,1107432,5641
Burma,47758181,253954
Brunei,381371,2035
Benin,8294941,42710
Georgia,4630841,26911
Bulgaria,7262675,42683
Ethiopia,78254090,432310
Lesotho,2128180,11718
Swaziland,1136334,6641
Tunisia,10175014,59985
Honduras,7639327,43201
Jordan,6198677,35344
Senegal,11987121,74131
Samoa,176908,1100
Iraq,28221181,167556
Uzbekistan,27307134,172741
Kenya,34707817,219788
Wallis and Futuna,16168,106
Ireland,4156119,26598
Mexico,109955400,742485
Cote d'Ivoire,18373060,122780
Lithuania,3565205,25174
Guinea-Bissau,1503182,10811
Tajikistan,7320815,55251
Burkina Faso,14761339,105714
Fiji,931545,7054
Belarus,9685768,80154
Turks and Caicos Islands,21152,166
Ecuador,13927650,106888
Bhutan,2376680,18147
Afghanistan,32738376,250000
Nicaragua,5780586,46430
Montenegro,678177,5333
Palau,21093,177
Tanzania,37445392,342100
Panama,3191319,29340
Iran,65875223,631659
Colombia,45013674,401042
Yemen,21456188,203849
Eritrea,5028475,46842
Guinea,10211437,94927
Cameroon,18467692,181251
South Africa,44187637,471444
Latvia,2245423,24903
Faroe Islands,47246,541
United States,298444215,3539225
Madagascar,20042551,224533
Zimbabwe,12236805,149293
Liberia,3042004,37189
United Arab Emirates,2602713,32278
The Bahamas,307451,3888
Estonia,1307605,17413
Venezuela,25730435,340560
Saint Pierre and Miquelon,7026,93
Congo (Kinshasa),68008922,875520
Laos,6677534,89112
Kyrgyzstan,5356869,76641
Mozambique,21284701,302737
Brazil,191908598,3265059
Djibouti,506221,8486
Peru,28302603,494208
Sweden,9016596,158927
Chile,16432536,289112
Solomon Islands,552438,10633
Uruguay,3431932,67035
Equatorial Guinea,562339,10830
Saint Helena,7502,158
Sudan,41236378,917374
Finland,5244749,117942
Paraguay,6506464,153398
Zambia,11502010,285992
New Zealand,4154311,103734
Norway,4644457,118865
Oman,3309440,82031
Argentina,40677348,1056636
Vanuatu,208869,5699
Somalia,8863338,242216
Algeria,33739635,919590
Belize,301022,8803
Saudi Arabia,27019731,829995
Papua New Guinea,5670544,174405
New Caledonia,224585,7243
Congo (Brazzaville),3903318,131853
Turkmenistan,5042920,188455
Niger,13272679,489072
Angola,12531357,481350
Mali,12324029,471042
Russia,142893540,6592812
Bolivia,9247816,418683
Chad,10111337,486178
Central African Republic,4434873,240533
Kazakhstan,15340533,1049150
Gabon,1484149,99486
Guyana,770794,76004
Canada,33679263,3560217
Libya,6173579,679358
Mauritania,3364940,397837
Iceland,304367,38707
Botswana,1842323,226012
Suriname,439117,62344
Australia,20600856,2941283
Namibia,2063927,317873
French Guiana,199509,34421
Mongolia,2996081,604247
Western Sahara,278600,102703
Greenland,56326,131931
